Name ImageFile	Set	ImageFile	Set #	Type	Stage	HP	Weakness	Resistance	Retreat Cost	Rarity	Text
Surfing Pikachu WBSP 28	WBSP	WBSP_028	#028	Lightning	Basic	50	Fighting x2		1	Promo	[W][W] Surf: 30 damage.
Marill WBSP 29	WBSP	WBSP_029	#029	Water	Basic	50	Lightning x2		1	Promo	[W][W] Water Gun: 20+ damage. Does 20 damage plus 10 more damage for each Energy attached to Marill but not used to pay for this attack's Energy cost. You can't add more than 20 damage in this way.
Togepi WBSP 30	WBSP	WBSP_030	#030	Colorless	Basic	30		Psychic -30	1	Promo	[C] Snivel: If the Defending Pokemon attacks Togepi during your opponent's next turn, any damage done to Togepi is reduced by 20 (before applying Weakness and Resistance). (Benching either Pokemon ends this effect.) | [C][C] Mini-Metronome: Flip a coin. If heads, choose 1 of the Defending Pokemon's attacks. Mini-Metronome copies that attack except for its Energy cost. (You must still do anything else in order to use that attack.) (No matter what type the Defending Pokemon is, Togepi's type is still [C].) Togepi performs that attack.
Cleffa WBSP 31	WBSP	WBSP_031	#031	Colorless	Baby	30			0	Promo	If this Baby Pokemon is your Active Pokemon and your opponent tries to attack, your opponent flips a coin (before doing anything required in order to use that attack). If tails, your opponent's turn ends without an attack. | [C] Eek: Draw 2 cards.
Smeargle WBSP 32	WBSP	WBSP_032	#032	Colorless	Basic	40	Fighting x2	Psychic -30	1	Promo	[C] Paint: Flip a coin. If heads, choose a type (other than Colorless) and put a Coloring counter on the Defending Pokemon. That Pokemon is now the type you chose. If it already had a Coloring counter, remove the old one. If tails, this attack does nothing.
Scizor WBSP 33	WBSP	WBSP_033	#033	Metal	Stage 1 - Scyther	70	Fire x2	Grass -30	2	Promo	[C] Leer: Flip a coin. If heads, the Defending Pokemon can't attack Scizor during your opponent's next turn. (Benching either Pokemon ends this effect.) | [M][C][C] Metal Pincer: 30+ damage. Flip a coin until you get tails. This attack does 30 damage plus 10 more damage for each heads.
Entei WBSP 34	WBSP	WBSP_034	#034	Fire	Basic	80	Water x2		1	Promo	Pokemon Power: Bolt. Whenever your opponent's attack damages Entei, unless that attack Knocks Out Entei, flip a coin. If heads, shuffle Entei and all cards attached to it into your deck. This power can't be used if Entei is already Asleep, Confused, or Paralyzed when it is damaged. | [R][R][R] Protective Flame: 50 damage. During your opponent's next turn, prevent all effects of attacks, including damage, done to your Benched Pokemon.
Pichu WBSP 35	WBSP	WBSP_035	#035	Lightning	Baby	30			0	Promo	If this Baby Pokemon is your Active Pokemon and your opponent announces an attack, your opponent flips a coin (before doing anything else). If tails, your opponent's turn ends. | [C] Let's Play!: Search your deck for a Baby Pokemon card and put it onto your Bench. Shuffle your deck afterward. (You can't use this attack if your Bench is full.)
Igglybuff WBSP 36	WBSP	WBSP_036	#036	Colorless	Baby	30			0	Promo	If this Baby Pokemon is your Active Pokemon and your opponent announces an attack, your opponent flips a coin (before doing anything else). If tails, your opponent's turn ends. | [C] Good Night Song: The Defending Pokemon is now Asleep.
Hitmontop WBSP 37	WBSP	WBSP_037	#037	Fighting	Basic	60	Psychic x2		1	Promo	[F][F] Repeating Kick: 20x damage. Flip a coin until you get tails. This attack does 20 damage times the number of heads. | [F][F][C] Rapid Spin: 30 damage. If your opponent has any Benched Pokemon, he or she chooses 1 of them and switches it with his or her Active Pokemon, then, if you have any Benched Pokemon, you switch 1 of them with your Active Pokemon. (Do the damage before switching the Pokemon.)
Unown J WBSP 38	WBSP	WBSP_038	#038	Psychic	Basic	40	Psychic x2		1	Promo	You may have up to 4 Basic Pokemon cards in your deck with Unown in their names. | Pokemon Power: Join. Once during your turn (before your attack), if you have Unown J, Unown O, Unown I, and Unown N on your Bench, you may search your deck for a Basic Pokemon or Evolution card. Show that card to your opponent, then put it into your hand. Shuffle your deck afterward. | [P] Hidden Power: 10 damage.
Misdreavus WBSP 39	WBSP	WBSP_039	#039	Psychic	Basic	50		Fighting -30	1	Promo	[P] Pain Split: Put 1 damage counter on the Defending Pokemon for each damage counter on Misdreavus. | [P][P] Confuse Ray: 10 damage. Flip a coin. If heads, the Defending Pokemon is now Confused.
Pokemon Center WBSP 40	WBSP	WBSP_040	#040		Trainer					Promo	Remove all damage counters from all of your own Pokemon with damage counters on them, then discard all Energy cards attached to those Pokemon.
Lucky Stadium WBSP 41	WBSP	WBSP_041	#041		Trainer - Stadium					Promo	This card stays in play when you play it. Discard this card if another Stadium card comes into play. | Once during each player's turn (before attacking), that player may flip a coin. If heads, that player draws a card.
Pokemon Tower WBSP 42	WBSP	WBSP_042	#042		Trainer - Stadium					Promo	This card stays in play when you play it. Discard this card if another Stadium card comes into play. | If the effect of a Pokemon Power, attack, Energy card, or Trainer card would put a card in a discard pile into its owner's hand, that card stay in that discard pile instead.
Machamp WBSP 43	WBSP	WBSP_043	#043	Fighting	Stage 2 - Machoke	90	Psychic x2		3	Promo	[F][F] Seething Anger: 20+ damage. Flip a number of coins equal to the number of damage counters on Machamp. This attack does 20 damage plus 10 more damage for each heads. | [F][F][C][C] Fling: 50 damage. If your opponent has any Benched Pokemon, he or she chooses 1 of them and switches it with the Defending Pokemon. (Do the damage before switching the Pokemon.)
Magmar WBSP 44	WBSP	WBSP_044	#044	Fire	Basic	60	Water x2		2	Promo	[R] Burning Fire: 10+ damage. When you use this attack, you may discard any number of [R] Energy cards attached to your Pokemon in play. This attack does 10 damage plus 10 more damage for each [R] Energy card you discarded in this way. | [R][R][C] Magma Punch: 40 damage.
Scyther WBSP 45	WBSP	WBSP_045	#045	Grass	Basic	60	Fire x2	Fighting -30	1	Promo	[G][G] Slashing Strike: 40 damage. Scyther can't use this attack during your next turn. (Benching or evolving Scyther ends this effect.)
Electabuzz WBSP 46	WBSP	WBSP_046	#046	Lightning	Basic	60	Fighting x2		1	Promo	[L] Lightning Rod: choose 1 of your opponent's Pokemon and put a Lightning Rod marker on it. (A Pokemon can have only 1 Lightning Rod marker on it at a time.) | [L][L] Lightning Bolt: 10 damage. This attack does 20 damage to any Pokemon with a Lightning Rod marker on it. Apply Weakness and Resistance.
Mew WBSP 47	WBSP	WBSP_047	#047	Psychic	Basic	40	Psychic x2		1	Promo	Pokemon Power: Neutral Shield. Prevent all effects of attacks, including damage, done to Mew by Evolved Pokemon. You can't use this power if Mew is Asleep, Confused, or Paralyzed. | [P] Psyshock: 10 damage. Flip a coin. If heads, the Defending Pokemon is now Confused.
Articuno WBSP 48	WBSP	WBSP_048	#048	Water	Basic	80		Fighting -30	2	Promo	Pokemon Power: Aurora Veil. As long as Articuno is your Active Pokemon, your Benched Pokemon do not take damage and are not affected by attacks. This power cannot be used if Articuno is affected by a Special Condition. | [W][W][C][C] Ice Beam: 30 damage. Flip a coin. If heads, the Defending Pokemon is now Paralyzed.
Snorlax WBSP 49	WBSP	WBSP_049	#049	Colorless	Basic	90	Fighting x2	Psychic -30	4	Promo	Pokemon Power: Guard. As long as Snorlax is your Active Pokemon, the Defending Pokemon can't Retreat. This power stops working when Snorlax is affected by a Special Condition. | [C][C][C][C] Roll Over: 30 damage. Snorlax is now Asleep. Flip a coin. If heads, the Defending Pokemon is now Asleep.
Celebi WBSP 50	WBSP	WBSP_050	#050	Grass	Basic	50	Fire x2		1	Promo	[G][C] Leaf Slice: 20x damage. Flip 2 coins. This attack does 20 damage times the number of heads.
Rapidash WBSP 51	WBSP	WBSP_051	#051	Fire	Stage 1 - Ponyta	60	Water x2		0	Promo	[C][C] Jump Over: If your opponent has any Benched Pokemon, choose 1 of them. Flip a coin. If heads, this attack does 20 damage to that Pokemon. (Don't apply Weakness and Resistance for Benched Pokemon.) | [R][C][C] Super Singe: 30 damage. Flip a coin. If heads, the Defending Pokemon is now Burned.
Ho-Oh WBSP 52	WBSP	WBSP_052	#052	Fire	Basic	80	Water x2	Fighting -30	2	Promo	[R][R][C][C] Sacred Wing: 60 damage. Flip a coin. If tails, this attack's base damage is 20 instead of 60.
Suicune WBSP 53	WBSP	WBSP_053	#053	Water	Basic	70	Lightning x2		1	Promo	Poke-Body: Pure Body. Whenever you attach a [W] Energy from your hand to Suicune, discard an Energy card attached to Suicune. (You can't attach a [W] Energy card from your hand if Suicune has no Energy cards attached.) | [W][C][C] Hypno Wave: 30+ damage. Flip a coin. If heads, this attack does 30 damage plus 20 more damage. If tails, this attack does 30 damage and the Defending Pokemon is now Asleep.
Mew SI 1	SI	SI_001	#001	Psychic	Basic	30	Psychic x2		0	Promo	[P] Rainbow Wave: Choose a type of Energy other than [C] attached to Mew. This attack does 20 damage to each of your opponent's Pokemon of that type (including Benched Pokemon). Don't apply Weakness and Resistance.
Pidgeot SI 2	SI	SI_002	#002	Colorless	Stage 2 - Pidgeotto	70	Lightning x2	Fighting -30	0	Promo	[C][C] Supersonic Flight: 40 damage. Flip a coin. If tails, this attack does nothing. | [C][C][C][C] Slicing Wind: 50 damage.
Onix SI 3	SI	SI_003	#003	Fighting	Basic	90	Grass x2		3	Promo	[C][C] Slam: 20x damage. Flip 2 coins. This attack does 20 damage times the number of heads. | [F][F][F][F] Body Slam: 40 damage. Flip a coin. If heads, the Defending Pokemon is now Paralyzed.
Togepi SI 4	SI	SI_004	#004	Colorless	Basic	40		Psychic -30	1	Promo	[C] Bawl: 10 damage. Flip a coin. If heads, the Defending Pokemon is now Confused.
Ivysaur SI 5	SI	SI_005	#005	Grass	Stage 1 - Bulbasaur	60	Fire x2		1	Promo	[G] Strange Scent: Each player flips a coin. Each player who gets heads chooses a total of 3 damage counters from among his or her Pokemon and removes them. (If the player's Pokemon have fewer total damage counter than that, he or she removes all of them.) | [G][G] Razor Leaf: 30 damage.
Raticate SI 6	SI	SI_006	#006	Colorless	Stage 1 - Rattata	60	Fighting x2	Psychic -30	0	Promo	[C][C] Sharp Teeth: 10+ damage. Flip a coin. If heads, this attack does 10 damage plus 30 more damage; if tails, this attack does 10 damage.
Ledyba SI 7	SI	SI_007	#007	Grass	Basic	40	Fire x2	Fighting -30	1	Promo	[C] Gnaw: 10 damage. | [G][G] Agility: 20 damage. Flip a coin. If heads, during your opponent's next turn, prevent all effects of attacks, including damage, done to Ledyba.
Jigglypuff SI 8	SI	SI_008	#008	Colorless	Basic	50	Fighting x2	Psychic -30	1	Promo	[C] Tempting Eyes: Choose 1 of your opponent's Benched Pokemon and switch it with the Defending Pokemon. | [C] Sing: Flip a coin. If heads the Defending Pokemon is now Asleep.
Butterfree SI 9	SI	SI_009	#009	Grass	Stage 2 - Metapod	80	Fire x2	Fighting -30	1	Promo	[C][C][C] Fly: 30 damage. Flip a coin. If heads, during your opponent's next turn, prevent all effects of attacks, including damage, done to Butterfree. If tails, this attack does nothing (not even damage). | [G][G][C] Rainbow Powder: 20 damage. Flip a coin. If heads, the Defending Pokemon is now Paralyzed. If tails, the Defending Pokemon is now Poisoned.
Tentacruel SI 10	SI	SI_010	#010	Water	Stage 1 - Tentacool	60	Lightning x2		1	Promo	[W] Tentacle Grip: Flip a number of coins equal to the number of [W] Energy attached to Tentacruel. For each heads, draw 2 cards. | [W][W] Poison Sting: 20 damage. Flip a coin. If heads, the Defending Pokemon is now Paralyzed.
Marill SI 11	SI	SI_011	#011	Water	Basic	40	Lightning x2		1	Promo	[W] Squirt: Choose 1 of your opponent's Pokemon. This attack does 10 damage to that Pokemon. Don't apply Weakness and Resistance. | [C][C] Rolling Tackle: 20 damage.
Lapras SI 12	SI	SI_012	#012	Water	Basic	70	Lightning x2		1	Promo	[C] Gentle Song: If Lapras has any damage counters on it, remove 2 of them from it (1 if it only has 1). If the Defending Pokemon has any damage counters on it remove 2 of them from it (1 if it only has 1). The Defending Pokemon is now Asleep. | [W][W] Ice Beam: 20 damage. Flip a coin. If heads, the Defending Pokemon is now Paralyzed.
Exeggutor SI 13	SI	SI_013	#013	Grass	Stage 1 - Exeggcute	70	Fire x2		2	Promo	[G] Sharpshooter: Choose 1 of your opponent's Pokemon. Flip a number of coins equal to the number of [G] Energy attached to Exeggutor. This attack does 10 damage times the number of heads to that Pokemon. Don't apply Weakness and Resistance.
Slowking SI 14	SI	SI_014	#014	Psychic	Stage 1 - Slowpoke	70	Psychic x2		2	Promo	[P] Revelation: Flip a coin. If heads, search your deck for a Trainer card, show it to your opponent, and put it into your hand. Shuffle your deck afterward. | [P][C] Psychic: Does 10 damage plus 10 more damage for each Energy card attached to the Defending Pokemon.
Wartortle SI 15	SI	SI_015	#015	Water	Stage 1 - Squirtle	60	Lightning x2		1	Promo	[W][W] Water Gun: 20+ damage. Does 20 damage plus 10 more damage for each [W] Energy attached to Wartortle but not used to pay for this attack's Energy cost. You can't add more than 20 damage in this way.
Lickitung SI 16	SI	SI_016	#016	Colorless	Basic	70	Fighting x2	Psychic -30	2	Promo	[C] Lick Wounds: Flip a coin. If heads, choose 1 Pokemon (yours or your opponent's) with damage counters on it and remove 2 damage counters from it (1 if it only has 1). | [C][C] Tongue Stretch: Flip a coin. If heads, choose 1 of your opponent's Pokemon. This attack does 20 damage to that Pokemon. Don't apply Weakness and Resistance.
Vileplume SI 17	SI	SI_017	#017	Grass	Stage 2 - Gloom	70	Fire x2		2	Promo	[G] Paradise Pollen: Flip a coin. If heads, remove 2 damage counters from Vileplume (1 if it only has 1). Then, if you have any Benched Pokemon with damage counters on them, choose 1 of them and remove 2 damage counters from it (1 if it only has 1). | [G][G][C] Horrid Pollen: 30 damage. Flip a coin. If heads, the Defending Pokemon is now Paralyzed. If tails, the Defending Pokemon is now Confused.
Primeape SI 18	SI	SI_018	#018	Fighting	Stage 1 - Mankey	60	Psychic x2		1	Promo	[F] Low Kick: 20 damage. | [F][F] Rampage: 20+ damage. Does 20 damage plus 10 more damage for each damage counter on Primeape. Flip a coin. If tails, Primeape is now Confused (after doing damage).
Kyogre ex NBSP 1	NBSP	NBSP_001	#001	Water	Basic (ex)	120	Lightning x2		3	Promo	When Pokemon-ex has been Knocked Out, your opponent takes 2 Prize cards. | [W][W][W][W] Major Flood: 60 damage. Discard a [W] Energy card attached to Kyogre ex. Does 10 damage to each Benched Pokemon (both yours and your opponent's). (Don't apply Weakness and Resistance for Benched Pokemon.)
Groudon ex NBSP 2	NBSP	NBSP_002	#002	Fighting	Basic (ex)	120	Grass x2		3	Promo	When Pokemon-ex has been Knocked Out, your opponent takes 2 Prize cards. | [F][F][F][F] Major Earthquake: 80 damage. Discard a [F] Energy card attached to Groundon ex. Does 10 damage to your Benched Pokemon. (Don't apply Weakness and Resistance for Benched Pokemon.)
Treecko NBSP 3	NBSP	NBSP_003	#003	Grass	Basic	40	Fire x2	Water -30	1	Promo	[C] Tail Slap: 10 damage. | [G][C] Razor Leaf: 20 damage.
Grovyle NBSP 4	NBSP	NBSP_004	#004	Grass	Stage 1 - Treecko	70	Fire x2	Water -30	1	Promo	[C][C] Poison Breath: The Defending Pokemon is now Poisoned. | [G][C][C] Swift: 30 damage. This attack's damage isn't affected by Weakness, Resistance, Poke-Powers, Poke-Bodies, or any other effects on the Defending Pokemon.
Mudkip NBSP 5	NBSP	NBSP_005	#005	Water	Basic	50	Lightning x2		1	Promo	[C] Pound: 10 damage. | [C][C] Fury Swipes: 10x damage. Flip 3 coins. This attack does 10 damage times the number of heads.
Torchic NBSP 6	NBSP	NBSP_006	#006	Fire	Basic	40	Water x2		1	Promo	[C] Peck: 10 damage. | [R][C] Fireworks: 30 damage. Flip a coin. If tails, discard a [R] Energy cards attached to Torchic.
Treecko NBSP 7	NBSP	NBSP_007	#007	Grass	Basic	40	Fire x2	Water -30	1	Promo	[C] Tail Slap: 10 damage. | [G][C] Razor Leaf: 20 damage.
Torchic NBSP 8	NBSP	NBSP_008	#008	Fire	Basic	40	Water x2		1	Promo	[C] Peck: 10 damage. | [R][C] Fireworks: 30 damage. Flip a coin. If tails, discard a [R] Energy cards attached to Torchic.
Combusken NBSP 9	NBSP	NBSP_009	#009	Fire	Stage 1 - Torchic	70	Water x2		1	Promo	[R] Flare: 20 damage. | [C][C][C] Double Kick: 40x damage. Flip 2 coins. This attack does 40 damage times the number of heads.
Mudkip NBSP 10	NBSP	NBSP_010	#010	Water	Basic	50	Lightning x2		1	Promo	[C] Pound: 10 damage. | [C][C] Fury Swipes: 10x damage. Flip 3 coins. This attack does 10 damage times the number of heads.
Marshtomp NBSP 11	NBSP	NBSP_011	#011	Water	Stage 1 - Mudkip	70	Lightning x2		1	Promo	[W] Bubble: 10 damage. Flip a coin. If heads, the Defending Pokemon is now Paralyzed. | [C][C][C] Slash: 40 damage.
Pikachu NBSP 12	NBSP	NBSP_012	#012	Lightning	Basic	50	Fighting x2		1	Promo	[C] Agility: Flip a coin. If heads, prevent all effects of an attack, including damage, done to Pikachu during your opponent's next turn. | [L][C] Thundershock: 20 damage. Flip a coin. If heads, the Defending Pokemon is now Paralyzed.
Meowth NBSP 13	NBSP	NBSP_013	#013	Colorless	Basic	50	Fighting x2		1	Promo	[C] Plunder: 10 damage. Before doing damage, discard all Trainer cards attached to the Defending Pokemon (before they affect the damage). | [C][C] Scratch: 20 damage.
Latias NBSP 14	NBSP	NBSP_014	#014	Colorless	Basic	70	Psychic x2		2	Promo	[P] Super Psy: 10 damage. | [R][W] Searing Flame: 20 damage. Flip a coin. If heads, the Defending Pokemon is now Burned.
Latios NBSP 15	NBSP	NBSP_015	#015	Colorless	Basic	80	Psychic x2		3	Promo	[P] Super Psy: 10 damage. | [W][P][L] Freeze Dry: 30 damage. Flip a coin. If heads, the Defending Pokemon is now Paralyzed.
Treecko NBSP 16	NBSP	NBSP_016	#016	Grass	Basic	40	Fire x2	Water -30	1	Promo	[C] Pound: 10 damage. | [G] Sporadic Sponging: 10 damage. Flip a coin. If heads, remove 1 damage counter from Treecko.
Torchic NBSP 17	NBSP	NBSP_017	#017	Fire	Basic	50	Water x2		1	Promo	[R][C] Ember: 30 damage. Discard a [R] Energy card attached to Torchic.
Mudkip NBSP 18	NBSP	NBSP_018	#018	Water	Basic	50	Lightning x2		1	Promo	[W] Surf: 10 damage. | [W][C] Whirlpool: 10 damage. Flip a coin. If heads, discard an Energy card attached to the Defending Pokemon.
Whismur NBSP 19	NBSP	NBSP_019	#019	Colorless	Basic	50	Fighting x2		1	Promo	[C] Supersonic: Flip a coin. If heads, the Defending Pokemon is now Confused. | [C] Pound: 10 damage.
Ludicolo NBSP 20	NBSP	NBSP_020	#020	Water	Stage 2 - Lombre	90	Lightning x2		2	Promo	Poke-Body: Rain Dish. At any time between turns, remove 1 damage counter from Ludicolo. | [W][C][C] Fury Swipes: 30x damage. Flip 3 coins. This attack does 30 damage times the number of heads.
