Name ImageFile	Set	ImageFile	Set #	Type	Stage	HP	Weakness	Resistance	Retreat Cost	Rarity	Text
Arcanine BS 23	BS	BS_023	#023	Fire	Stage 1 - Growlithe	100	Water x2		3	Uncommon	[R][R][C] Flamethrower: 50 damage. Discard 1 [R] Energy card attached to Arcanine in order to use this attack. | [R][R][C][C] Take Down: 80 damage. Arcanine does 30 damage to itself.
Charmeleon BS 24	BS	BS_024	#024	Fire	Stage 1 - Charmander	80	Water x2		1	Uncommon	[C][C][C] Slash: 30 damage. | [R][R][C] Flamethrower: 50 damage. Discard 1 [R] Energy card attached to Charmeleon in order to use this attack.
Dewgong BS 25	BS	BS_025	#025	Water	Stage 1 - Seel	80	Lightning x2		3	Uncommon	[W][W][C] Aurora Beam: 50 damage. | [W][W][C][C] Ice Beam: 30 damage. Flip a coin. If heads, the Defending Pokemon is now Paralyzed.
Dratini BS 26	BS	BS_026	#026	Colorless	Basic	40		Psychic -30	1	Uncommon	[C] Pound: 10 damage.
Farfetch'd BS 27	BS	BS_027	#027	Colorless	Basic	50	Lightning x2	Fighting -30	1	Uncommon	[C] Leek Slap: 30 damage. Flip a coin. If tails, this attack does nothing. Either way, you can't use this attack again as long as Farfetch'd stays in play (even putting Farfetch'd on the Bench won't let you use it again). | [C][C][C] Pot Smash: 30 damage.
Growlithe BS 28	BS	BS_028	#028	Fire	Basic	60	Water x2		1	Uncommon	[R][C] Flare: 20 damage.
Haunter BS 29	BS	BS_029	#029	Psychic	Stage 1 - Gastly	60		Fighting -30	1	Uncommon	[P] Hypnosis: The Defending Pokemon is now Asleep. | [P][P] Dream Eater: 50 damage. You can't use this attack unless the Defending Pokemon is Asleep.
Ivysaur BS 30	BS	BS_030	#030	Grass	Stage 1 - Bulbasaur	60	Fire x2		1	Uncommon	[G][C][C] Vine Whip: 30 damage. | [G][G][G] Poisonpowder: 20 damage. The Defending Pokemon is now Poisoned.
Jynx BS 31	BS	BS_031	#031	Psychic	Basic	70	Psychic x2		2	Uncommon	[P] Doubleslap: 10x damage. Flip 2 coins. This attack does 10 damage times the number of heads. | [P][P][C] Meditate: 20+ damage. Does 20 damage plus 10 more damage for each damage counter on the Defending Pokemon.
Kadabra BS 32	BS	BS_032	#032	Psychic	Stage 1 - Abra	60	Psychic x2		3	Uncommon	[P][P] Recover: Discard 1 [P] Energy card attached to Kadabra in order to use this attack. Remove all damage counters from Kadabra. | [P][P][C] Super Psy: 50 damage.
Kakuna BS 33	BS	BS_033	#033	Grass	Stage 1 - Weedle	80	Fire x2		2	Uncommon	[C][C] Stiffen: Flip a coin. If heads, prevent all damage done to Kakuna during your opponent's next turn. (Any other effects of attacks still happen.) | [G][G] Poisonpowder: 20 damage. Flip a coin. If heads, the Defending Pokemon is now Poisoned.
Machoke BS 34	BS	BS_034	#034	Fighting	Stage 1 - Machop	80	Psychic x2		3	Uncommon	[F][F][C] Karate Chop: 50- damage. Does 50 damage minus 10 damage for each damage counter on Machoke. | [F][F][C][C] Submission: 60 damage. Machoke does 20 damage to itself.
Magikarp BS 35	BS	BS_035	#035	Water	Basic	30	Lightning x2		1	Uncommon	[C] Tackle: 10 damage. | [W] Flail: 10x damage. Does 10 damage times the number of damage counters on Magikarp.
Magmar BS 36	BS	BS_036	#036	Fire	Basic	50	Water x2		2	Uncommon	[R][R] Fire Punch: 30 damage. | [R][R][C] Flamethrower: 50 damage. Discard 1 [R] Energy card attached to Magmar in order to use this attack.
Nidorino BS 37	BS	BS_037	#037	Grass	Stage 1 - Nidoran Male	60	Psychic x2		1	Uncommon	[G][C][C] Double Kick: 30x damage. Flip 2 coins. This attack does 30 damage times the number of heads. | [G][G][C][C] Horn Drill: 50 damage.
Poliwhirl BS 38	BS	BS_038	#038	Water	Stage 1 - Poliwag	60	Grass x2		1	Uncommon	[W][W] Amnesia: Choose 1 of the Defending Pokemon's attacks. That Pokemon can't use that attack during your opponent's next turn. | [W][W][C] Doubleslap: 30x damage. Flip 2 coins. This attack does 30 damage times the number of heads.
Porygon BS 39	BS	BS_039	#039	Colorless	Basic	30	Fighting x2	Psychic -30	1	Uncommon	[C] Conversion 1: If the Defending Pokemon has a Weakness, you may change it to a type of your choice other than Colorless. | [C][C] Conversion 2: Change Porygon's Resistance to a type of your choice other than Colorless.
Raticate BS 40	BS	BS_040	#040	Colorless	Stage 1 - Rattata	60	Fighting x2	Psychic -30	1	Uncommon	[C] Bite: 20 damage. | [C][C][C] Super Fang: ? damage. Does damage to the Defending Pokemon equal to half the Defending Pokemon's remaining HP (rounded up to the nearest 10).
Seel BS 41	BS	BS_041	#041	Water	Basic	60	Lightning x2		1	Uncommon	[W] Headbutt: 10 damage.
Wartortle BS 42	BS	BS_042	#042	Water	Stage 1 - Squirtle	70	Lightning x2		1	Uncommon	[W][C] Withdraw: Flip a coin. If heads, prevent all damage done to Wartortle during your opponent's next turn. (Any other effects of attacks still happen.) | [W][C][C] Bite: 40 damage.
Abra BS 43	BS	BS_043	#043	Psychic	Basic	30	Psychic x2		0	Common	[P] Psyshock: 10 damage. Flip a coin. If heads, the Defending Pokemon is now Paralyzed.
Bulbasaur BS 44	BS	BS_044	#044	Grass	Basic	40	Fire x2		1	Common	[G][G] Leech Seed: 20 damage. Unless all damage from this attack is prevented, you may remove 1 damage counter from Bulbasaur.
Caterpie BS 45	BS	BS_045	#045	Grass	Basic	40	Fire x2		1	Common	[G] String Shot: 10 damage. Flip a coin. If heads, the Defending Pokemon is now Paralyzed.
Charmander BS 46	BS	BS_046	#046	Fire	Basic	50	Water x2		1	Common	[C] Scratch: 10 damage. | [R][C] Ember: 30 damage. Discard 1 [R] Energy card attached to Charmander in order to use this attack.
Diglett BS 47	BS	BS_047	#047	Fighting	Basic	30	Grass x2	Lightning -30	0	Common	[F] Dig: 10 damage. | [F][F] Mud Slap: 30 damage.
Doduo BS 48	BS	BS_048	#048	Colorless	Basic	50	Lightning x2	Fighting -30	0	Common	[C] Fury Attack: 10x damage. Flip 2 coins. This attack does 10 damage times the number of heads.
Drowzee BS 49	BS	BS_049	#049	Psychic	Basic	50	Psychic x2		1	Common	[C] Pound: 10 damage. | [P][P] Confuse Ray: 10 damage. Flip a coin. If heads, the Defending Pokemon is now Confused.
Gastly BS 50	BS	BS_050	#050	Psychic	Basic	30		Fighting -30	0	Common	[P] Sleeping Gas: Flip a coin. If heads, the Defending Pokemon is now Asleep. | [P][C] Destiny Bond: Discard 1 [P] Energy card attached to Gastly in order to use this attack. If a Pokemon Knocks Out Gastly during your opponent's next turn, Knock Out that Pokemon.
Koffing BS 51	BS	BS_051	#051	Grass	Basic	50	Psychic x2		1	Common	[G][G] Foul Gas: 10 damage. Flip a coin. If heads, the Defending Pokemon is now Poisoned; if tails, it is now Confused.
Machop BS 52	BS	BS_052	#052	Fighting	Basic	50	Psychic x2		1	Common	[F] Low Kick: 20 damage.
Magnemite BS 53	BS	BS_053	#053	Lightning	Basic	40	Fighting x2		1	Common	[L] Thunder Wave: 10 damage. Flip a coin. If heads, the Defending Pokemon is now Paralyzed. | [L][C] Selfdestruct: 40 damage. Does 10 damage to each Pokemon on each player's Bench. (Don't apply Weakness and Resistance for Benched Pokemon.) Magnemite does 40 damage to itself.
Metapod BS 54	BS	BS_054	#054	Grass	Stage 1 - Caterpie	70	Fire x2		2	Common	[C][C] Stiffen: Flip a coin. If heads, prevent all damage done to Metapod during your opponent's next turn. (Any other effects of attacks still happen.) | [G][G] Stun Spore: 20 damage. Flip a coin. If heads, the Defending Pokemon is now Paralyzed.
Nidoran Male BS 55	BS	BS_055	#055	Grass	Basic	40	Psychic x2		1	Common	[G] Horn Hazard: 30 damage. Flip a coin. If tails, this attack does nothing.
Onix BS 56	BS	BS_056	#056	Fighting	Basic	90	Grass x2		3	Common	[F] Rock Throw: 10 damage. | [F][F] Harden: During your opponent's next turn, whenever 30 or less damage is done to Onix (after applying Weakness and Resistance), prevent that damage. (Any other effects of attacks still happen.)
Pidgey BS 57	BS	BS_057	#057	Colorless	Basic	40	Lightning x2	Fighting -30	1	Common	[C][C] Whirlwind: 10 damage. If your opponent has any Benched Pokemon, he or she chooses 1 of them and switches it with the Defending Pokemon. (Do the damage before switching the Pokemon.)
Pikachu BS 58	BS	BS_058	#058	Lightning	Basic	40	Fighting x2		1	Common	[C] Gnaw: 10 damage. | [L][C] Thunder Jolt: 30 damage. Flip a coin. If tails, Pikachu does 10 damage to itself.
Poliwag BS 59	BS	BS_059	#059	Water	Basic	40	Grass x2		1	Common	[W] Water Gun: 10+ damage. Does 10 damage plus 10 more damage for each [W] Energy attached to Poliwag but not used to pay for this attack's Energy cost. Extra [W] Energy after the 2nd don't count.
Ponyta BS 60	BS	BS_060	#060	Fire	Basic	40	Water x2		1	Common	[C][C] Smash Kick: 20 damage. | [R][R] Flame Tail: 30 damage.
Rattata BS 61	BS	BS_061	#061	Colorless	Basic	30	Fighting x2	Psychic -30	0	Common	[C] Bite: 20 damage.
Sandshrew BS 62	BS	BS_062	#062	Fighting	Basic	40	Grass x2	Lightning -30	1	Common	[F] Sand-attack: 10 damage. If the Defending Pokemon tries to attack during your opponent's next turn, your opponent flips a coin. If tails, that attack does nothing.
Squirtle BS 63	BS	BS_063	#063	Water	Basic	40	Lightning x2		1	Common	[W] Bubble: 10 damage. Flip a coin. If heads, the Defending Pokemon is now Paralyzed. | [W][C] Withdraw: Flip a coin. If heads, prevent all damage done to Squirtle during your opponent's next turn. (Any other effects of attacks still happen.)
Starmie BS 64	BS	BS_064	#064	Water	Stage 1 - Staryu	60	Lightning x2		1	Common	[W][W] Recover: Discard 1 [W] Energy card attached to Starmie in order to use this attack. Remove all damage counters from Starmie. | [W][C][C] Star Freeze: 20 Damage. Flip a coin. If heads, the Defending Pokemon is now Paralyzed.
Staryu BS 65	BS	BS_065	#065	Water	Basic	40	Lightning x2		1	Common	[W] Slap: 20 damage.
Tangela BS 66	BS	BS_066	#066	Grass	Basic	50	Fire x2		2	Common	[G][C] Bind: 20 damage. Flip a coin. If heads, the Defending Pokemon is now Paralyzed. | [G][G][G] Poisonpowder: 20 damage. The Defending Pokemon is now Poisoned.
Voltorb BS 67	BS	BS_067	#067	Lightning	Basic	40	Fighting x2		1	Common	[C] Tackle: 10 damage.
Vulpix BS 68	BS	BS_068	#068	Fire	Basic	50	Water x2		1	Common	[R][R] Confuse Ray: 10 damage. Flip a coin. If heads, the Defending Pokemon is now Confused.
Weedle BS 69	BS	BS_069	#069	Grass	Basic	40	Fire x2		1	Common	[G] Poison Sting: 10 damage. Flip a coin. If heads, the Defending Pokemon is now Poisoned.
Clefairy Doll BS 70	BS	BS_070	#070		Trainer	10				Rare	Play Clefairy Doll as if it were a Basic Pokemon. While in play, Clefairy Doll counts as a Pokemon (instead of a Trainer card). Clefairy Doll has no attacks, can't retreat, and can't be Asleep, Confused, Paralyzed, or Poisoned. If Clefairy Doll is Knocked Out, it doesn't count as a Knocked Out Pokemon. At any time during your turn before your attack, you may discard Clefairy Doll.
Computer Search BS 71	BS	BS_071	#071		Trainer					Rare	Discard 2 of the other cards from you hand in order to search your deck for any card and put it into your hand. Shuffle your deck afterward.
Devolution Spray BS 72	BS	BS_072	#072		Trainer					Rare	Choose 1 of your own Pokemon in play and a Stage of Evolution. Discard all Evolution cards of that Stage or higher attached to that Pokemon. That Pokemon is no longer Asleep, Confused, Paralyzed, Poisoned, or anything else that might be the result of an attack (just as if you had evolved it).
Impostor Professor Oak BS 73	BS	BS_073	#073		Trainer					Rare	Your opponent shuffles his or her hand into his or her deck, then draws 7 cards.
Item Finder BS 74	BS	BS_074	#074		Trainer					Rare	Discard 2 of the other cards from your hand in order to put a Trainer card from your discard pile into your hand.
Lass BS 75	BS	BS_075	#075		Trainer					Rare	You and your opponent show each other your hands, then shuffle all the Trainer cards from your hands into your decks.
Pokemon Breeder BS 76	BS	BS_076	#076		Trainer					Rare	Put a Stage 2 Evolution card from your hand on the matching Basic Pokemon. You can only play this card when you would be allowed to evolve that Pokemon anyway.
Pokemon Trader BS 77	BS	BS_077	#077		Trainer					Rare	Trade 1 of the Basic Pokemon or Evolution cards in your hand for 1 of the Basic Pokemon or Evolution cards from your deck. Show both cards to your opponent. Shuffle your deck afterward.
Scoop Up BS 78	BS	BS_078	#078		Trainer					Rare	Choose 1 of your Pokemon in play and return its Basic Pokemon card to your hand. (Discard all cards attached to that card.)
Super Energy Removal BS 79	BS	BS_079	#079		Trainer					Rare	Discard 1 Energy card attached to 1 of your Pokemon in order to choose 1 of your opponent's Pokemon and up to 2 Energy cards attached to it. Discard those Energy cards.
Defender BS 80	BS	BS_080	#080		Trainer					Uncommon	Attach Defender to 1 of your Pokemon. At the end of your opponent's next turn, discard Defender. Damage done to that Pokemon by attacks is reduced by 20 (after applying Weakness and Resistance).
Energy Retrieval BS 81	BS	BS_081	#081		Trainer					Uncommon	Trade 1 of the other cards in your hand for up to 2 basic Energy cards from your discard pile.
Full Heal BS 82	BS	BS_082	#082		Trainer					Uncommon	Your Active Pokemon is no longer Asleep, Confused, Paralyzed, or Poisoned.
Maintenance BS 83	BS	BS_083	#083		Trainer					Uncommon	Shuffle 2 of the other cards from your hand into your deck in order to draw a card.
PlusPower BS 84	BS	BS_084	#084		Trainer					Uncommon	Attach PlusPower to your Active Pokemon. At the end of your turn, discard PlusPower. If this Pokemon's attack does damage to the Defending Pokemon (after applying Weakness and Resistance), the attack does 10 more damage to the Defending Pokemon.
Pokemon Center BS 85	BS	BS_085	#085		Trainer					Uncommon	Remove all damage counters from all of your own Pokemon with damage counters on them, then discard all Energy cards attached to those Pokemon.
Pokemon Flute BS 86	BS	BS_086	#086		Trainer					Uncommon	Choose 1 Basic Pokemon card from your opponent's discard pile and put it onto his or her Bench. (You can't play Pokemon Flute if your opponent's Bench is full.)
Pokedex BS 87	BS	BS_087	#087		Trainer					Uncommon	Look at up to 5 cards from the top of your deck and rearrange them as you like.
Professor Oak BS 88	BS	BS_088	#088		Trainer					Uncommon	Discard your hand, then draw 7 cards.
Revive BS 89	BS	BS_089	#089		Trainer					Uncommon	Put 1 Basic Pokemon card from your discard pile onto your Bench. Put damage counters on that Pokemon equal to half its HP (rounded down to the nearest 10). (You can't play Revive if your Bench is full.)
Super Potion BS 90	BS	BS_090	#090		Trainer					Uncommon	Discard 1 Energy card attached to your own Pokemon in order to remove up to 4 damage counters from that Pokemon.
Bill BS 91	BS	BS_091	#091		Trainer					Common	Draw 2 cards.
Energy Removal BS 92	BS	BS_092	#092		Trainer					Common	Choose 1 Energy card attached to 1 of your opponent's Pokemon and discard it.
Gust of Wind BS 93	BS	BS_093	#093		Trainer					Common	Choose 1 of your opponent's Benched Pokemon and switch it with his or her Active Pokemon.
Potion BS 94	BS	BS_094	#094		Trainer					Common	Remove up to 2 damage counters from 1 of your Pokemon.
Switch BS 95	BS	BS_095	#095		Trainer					Common	Switch 1 of your own Benched Pokemon with your Active Pokemon.
Double Colorless Energy BS 96	BS	BS_096	#096		Energy - Special					Uncommon	Provides [C][C] energy. Doesn't count as a basic Energy card.
Fighting Energy BS 97	BS	BS_097	#097		Energy					Energy
Fire Energy BS 98	BS	BS_098	#098		Energy					Energy
Grass Energy BS 99	BS	BS_099	#099		Energy					Energy
Lightning Energy BS 100	BS	BS_100	#100		Energy					Energy
Psychic Energy BS 101	BS	BS_101	#101		Energy					Energy
Water Energy BS 102	BS	BS_102	#102		Energy					Energy
Clefable JU 1	JU	JU_001	#001	Colorless	Stage 1 - Clefairy	70	Fighting x2	Psychic -30	2	Rare Holo	[C] Metronome: Choose 1 of the Defending Pokemon's attacks. Metronome copies that attack except for its Energy costs and anything else required in order to use that attack, such as discarding Energy cards. (No matter what type the Defending Pokemon is, Clefable's type is still Colorless.) | [C][C] Minimize: All damage done by attacks to Clefable during your opponent's next turn is reduced by 20 (after applying Weakness and Resistance).
Electrode JU 2	JU	JU_002	#002	Lightning	Stage 1 - Voltorb	90	Fighting x2		1	Rare Holo	[C][C] Tackle: 20 damage. | [L][L][L] Chain Lightning: 20 damage. If the Defending Pokemon isn't Colorless, this attack does 10 damage to each Benched Pokemon of the same type as the Defending Pokemon (including your own).
Flareon JU 3	JU	JU_003	#003	Fire	Stage 1 - Eevee	70	Water x2		1	Rare Holo	[C][C] Quick Attack: 10+ damage. Flip a coin. If heads, this attack does 10 damage plus 20 more damage; if tails, this attack does 10 damage. | [R][R][C][C] Flamethrower: 60 damage. Discard 1 [R] Energy card attached to Flareon in order to use this attack.
Jolteon JU 4	JU	JU_004	#004	Lightning	Stage 1 - Eevee	70	Fighting x2		1	Rare Holo	[C][C] Quick Attack: 10+ damage. Flip a coin. If heads, this attack does 10 damage plus 20 more damage; if tails, this attack does 10 damage. | [L][L][C] Pin Missile: 20x damage. Flip 4 coins. This attack does 20 damage times the number of heads.
Kangaskhan JU 5	JU	JU_005	#005	Colorless	Basic	90	Fighting x2	Psychic -30	3	Rare Holo	[C] Fetch: Draw a card. | [C][C][C][C] Comet Punch: 20x damage. Flip 4 coins. This attack does 20 damage times the number of heads.
Mr. Mime JU 6	JU	JU_006	#006	Psychic	Basic	40	Psychic x2		1	Rare Holo	Pokemon Power: Invisible Wall. Whenever an attack (including your own) does 30 or more damage to Mr. Mime (after applying Weakness and Resistance), prevent that damage. (Any other effects of attacks still happen.) This power can't be used if Mr. Mime is Asleep, Confused, or Paralyzed. | [P][C] Meditate: 10+ damage. Does 10 damage plus 10 more damage for each damage counter on the Defending Pokemon.
Nidoqueen JU 7	JU	JU_007	#007	Grass	Stage 2 - Nidorina	90	Psychic x2		3	Rare Holo	[G][C] Boyfriends: 20+ damage. Does 20 damage plus 20 more damage for each Nidoking you have in play. | [G][G][C][C] Mega Punch: 50 damage.
Pidgeot JU 8	JU	JU_008	#008	Colorless	Stage 2 - Pidgeotto	80	Lightning x2	Fighting -30	0	Rare Holo	[C][C] Wing Attack: 20 damage. | [C][C][C] Hurricane: 30 damage. Unless this attack Knocks Out the Defending Pokemon, return the Defending Pokemon and all cards attached to it to your opponent's hand.
Pinsir JU 9	JU	JU_009	#009	Grass	Basic	60	Fire x2		1	Rare Holo	[G][G] Irongrip: 20 damage. Flip a coin. If heads, the Defending Pokemon is now Paralyzed. | [G][G][C][C] Guillotine: 50 damage.
Scyther JU 10	JU	JU_010	#010	Grass	Basic	70	Fire x2	Fighting -30	0	Rare Holo	[G] Swords Dance: During your next turn, Scyther's Slash attack's base damage is 60 instead of 30. | [C][C][C] Slash: 30 damage.
Snorlax JU 11	JU	JU_011	#011	Colorless	Basic	90	Fighting x2	Psychic -30	4	Rare Holo	Pokemon Power: Thick Skinned. Snorlax can't become Asleep, Confused, Paralyzed, or Poisoned. This power can't be used if Snorlax is already Asleep, Confused, or Paralyzed. | [C][C][C][C] Body Slam: 30 damage. Flip a coin. If heads, the Defending Pokemon is now Paralyzed.
Vaporeon JU 12	JU	JU_012	#012	Water	Stage 1 - Eevee	80	Lightning x2		1	Rare Holo	[C][C] Quick Attack: 10+ damage. Flip a coin. If heads, this attack does 10 damage plus 20 more damage; if tails, this attack does 10 damage. | [W][W][C] Water Gun: 30+ damage. Does 30 damage plus 10 more damage for each [W] Energy attached to Vaporeon but not used to pay for this attack's Energy cost. Extra [W] Energy after the 2nd doesn't count.
Venomoth JU 13	JU	JU_013	#013	Grass	Stage 1 - Venonat	70	Fire x2	Fighting -30	0	Rare Holo	Pokemon Power: Shift. Once during your turn (before your attack), you may change the type of Venomoth to the type of any other Pokemon in play other than Colorless. This power can't be used if Venomoth is Asleep, Confused, or Paralyzed. | [G][G] Venom Powder: 10 damage. Flip a coin. If heads, the Defending Pokemon is now Confused and Poisoned.
